,City,Median_Home_Price,Latitude,Longitude
121,Tracy,522323.0,37.7396513,-121.4252227
122,Castroville,521867.0,36.7657904,-121.758005
123,Valinda,521442.0,34.0384785,-117.93355898556877
124,Rocklin,519852.0,38.7907339,-121.2357828
125,Santa Fe Springs,519215.0,33.9480787,-118.0691499
126,Crows Landing,514996.0,37.3938244,-121.0715976
127,Linden,513340.0,38.0213005,-121.10551382169648
128,Cazadero,512609.0,38.5334117,-123.0854625
129,Salinas,512572.0,36.6744117,-121.6550372
130,El Monte,512307.0,36.7014631,-118.7559974
131,Paso Robles,510826.0,35.6267654,-120.6912456
132,Westmont,509450.0,33.9414035,-118.3022963
133,San Fernando,509223.0,34.28497,-118.437652
134,Chino,508413.0,34.0133561,-117.690075
135,Trinidad,507667.0,41.059291,-124.143125
136,Birds Landing,505654.0,38.132695,-121.8707927
137,Meadow Vista,504971.0,39.0016485,-121.03567537915235
138,South El Monte,504939.0,34.0519548,-118.0467339
139,Pico Rivera,504525.0,33.9830688,-118.096735
140,Albion,503999.0,39.2235117,-123.7686251
141,Shingle Springs,503642.0,38.671386999999996,-120.94054470702578
142,Corona,502945.0,33.8752945,-117.5664449
143,Norwalk,501447.0,33.9092802,-118.0849169
144,Kirkwood,500013.0,38.690863,-120.0545120325384
145,Spring Valley,498728.0,32.729639500000005,-116.9668617593562
146,West Compton,498613.0,33.8939048,-118.2706282
147,Bayside,498576.0,40.8423507,-124.0636715
148,Soda Springs,497074.0,39.0240651,-123.315841
149,West Puente Valley,494720.0,34.049858,-117.96462933942225
150,Lincoln,494209.0,38.859829500000004,-121.34239205792437
151,East Los Angeles,489213.0,34.0239015,-118.1720157
152,Crockett,488018.0,38.0525612,-122.2202603
153,Lemon Grove,487734.0,32.7425516,-117.0314172
154,Azusa,486785.0,34.1338751,-117.9056046
155,Roseville,486660.0,38.7521235,-121.2880059
156,Ripon,486281.0,37.741595,-121.1243828
157,Temecula,485404.0,33.4946353,-117.1473661
158,La Puente,485217.0,34.01979,-117.9503677
159,Santa Paula,483729.0,34.3541659,-119.0592705
160,Auburn,482294.0,38.8945939,-121.0739897
161,Durham,478141.0,39.627436349999996,-121.80443748086391
162,Baldwin Park,477310.0,34.0854739,-117.9611761
163,Commerce,474700.0,34.002581,-118.156586
164,Bell Gardens,474496.0,33.9694561,-118.1503953
165,Fillmore,473116.0,34.38395800000001,-118.93659550000001
166,Dulzura,473028.0,32.6442247,-116.7814093
167,Rodeo,472641.0,38.0339842,-122.2676656
168,South Gate,471213.0,33.9463456,-118.200981
169,Lotus,470903.0,38.801568,-120.9085501
170,Bell,470214.0,33.9747806,-118.1866361
171,Oceano,468962.0,35.0988648,-120.6123931
172,South San Jose Hills,468054.0,34.0148215,-117.91569982685415
173,Hawaiian Gardens,465949.0,33.8284787,-118.0743137
174,Mammoth Lakes,465034.0,37.6432525,-118.9668509
175,Duncans Mills,464478.0,38.453803,-123.0550013
176,Lynwood,463681.0,33.924831,-118.2024154
177,Santa Ysabel,462738.0,33.1092099,-116.6730763
178,Fairfield,462569.0,38.2493581,-122.0399663
179,El Dorado,461267.0,38.7574137,-120.5276129
180,Huntington Park,461123.0,33.9827043,-118.2120343
181,Vacaville,460949.0,38.3565773,-121.9877444
182,Cudahy,460213.0,33.9620584,-118.1835395
183,Fair Oaks,459357.0,38.642897000000005,-121.24624532104002
184,Friant,459073.0,36.983858,-119.71346236018485
185,Bradley,458832.0,35.8628636,-120.8037593106835
186,Elk Grove,457100.0,38.4087993,-121.3716178
187,Winchester,455025.0,33.719382249999995,-117.06328473837351
188,San Pablo,454539.0,37.9621457,-122.3455263
189,Maywood,454278.0,33.9866807,-118.185349
190,Manchester,454037.0,38.9701853,-123.6880732
191,National City,453179.0,32.6781085,-117.0991967
192,Winters,452547.0,38.5249065,-121.9708017
193,Paramount,451699.0,33.898917,-118.171005
194,Montclair,450666.0,34.0775104,-117.6897776
