,City,Median_Home_Price,Latitude,Longitude,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
67,West Covina,576643.0,34.0686208,-117.9389526,65,168,9,235,122,189,241,50,174,133
68,American Canyon,576236.0,38.223457,-122.22704307123536,82,79,6,184,66,149,182,31,221,145
69,Folsom,575448.0,38.6779591,-121.1760583,63,91,8,241,94,200,212,58,227,170
70,Santa Ana,573882.0,33.7494951,-117.8732213,173,207,31,234,248,207,307,179,206,210
71,Paicines,573812.0,36.7285708,-121.2785409,4,2,1,10,4,11,34,4,38,3
72,Tahoe Vista,572305.0,39.248688,-120.05190527610762,15,10,3,150,54,150,123,14,172,115
73,Upland,571057.0,34.09751,-117.6483876,71,149,11,235,103,203,264,77,220,165
74,Carson,568887.0,33.8322043,-118.2517547,122,196,22,240,188,237,244,77,216,160
75,Santa Clarita,567480.0,34.3916641,-118.542586,45,77,4,245,57,179,228,44,192,101
76,Acampo,567350.0,38.1746398,-121.2785588,11,11,3,117,19,61,117,12,148,41
77,Rescue,566167.0,38.7116667,-120.9513889,18,7,2,150,26,77,93,13,115,34
78,Norco,566054.0,33.9323307,-117.5508901,57,89,5,231,67,167,208,53,199,136
79,Avocado Heights,564948.0,34.0269825,-117.96543306543037,76,129,12,232,135,198,222,52,164,128
80,West Carson,564527.0,33.8216836,-118.2925722,119,126,22,243,168,242,278,75,224,158
81,Seaside,563817.0,36.6253775,-121.81728435938528,71,92,12,176,60,175,143,32,183,175
82,Montebello,562458.0,34.0159398,-118.111975,181,162,19,243,242,217,279,125,187,185
83,Los Alamos,559983.0,34.7379311,-120.26591046240952,11,1,1,38,18,13,79,1,56,19
84,Concord,559356.0,37.9768525,-122.0335624,60,99,4,248,72,198,229,62,228,136
85,Rohnert Park,558733.0,38.3396367,-122.7010984,47,78,6,244,106,162,181,53,235,109
86,Whittier,554863.0,33.9708782,-118.0308396,111,129,9,230,187,197,241,47,171,151
87,Cloverdale,554520.0,38.776218,-122.99300818666057,4,1,1,29,15,23,83,0,44,14
88,Sloughhouse,554249.0,38.4957417,-121.193836,16,36,0,65,14,95,100,23,80,104
89,Freedom,553364.0,36.9381642,-121.80205628180576,27,37,4,105,30,98,134,10,182,73
90,Chula Vista,552215.0,32.6400541,-117.0841955,200,142,10,249,249,206,227,119,183,215
91,Vista,551999.0,33.2000368,-117.2425355,64,106,5,248,105,210,225,63,203,175
92,Covina,551496.0,34.0877926,-117.8891164,55,148,15,233,110,177,242,50,165,123
93,Oceanside,550171.0,33.1958696,-117.3794834,57,66,4,242,81,190,201,49,200,166
94,Duarte,550103.0,34.1394513,-117.9772873,92,154,11,239,143,205,241,49,176,144
95,Kneeland,550049.0,40.7612425,-123.9947779,20,58,0,113,36,64,113,6,137,28
96,Pinole,544415.0,38.0043667,-122.2988587,80,207,2,250,75,176,172,40,183,124
97,San Juan Bautista,543529.0,36.8455173,-121.5379894,7,16,2,71,10,60,57,5,87,24
98,Ramona,543137.0,33.0417112,-116.8680821,38,2,0,43,11,56,43,3,74,15
99,Pauma Valley,542975.0,33.3033679,-116.9814167,7,2,2,41,15,39,66,0,81,12
100,Rancho Cucamonga,541613.0,34.1033192,-117.5751735,63,129,5,236,66,189,237,68,198,159
101,Escondido,539482.0,33.1216751,-117.0814849,61,85,6,225,71,161,186,40,177,103
102,West Athens,538676.0,33.9244007,-118.2972524,168,214,30,243,241,202,275,167,174,211
103,Atascadero,536411.0,35.4894169,-120.6707255,12,4,5,82,38,62,138,5,189,46
104,Bellflower,536265.0,33.8825705,-118.1167679,123,190,18,234,200,244,277,70,206,185
105,Forestville,536245.0,38.4833405,-122.86158427486583,46,62,3,243,96,139,179,30,216,118
106,Irwindale,535828.0,34.1069927,-117.9342148,66,170,10,237,118,197,265,50,215,141
107,Santee,533998.0,32.8383828,-116.9739167,59,153,7,244,107,178,187,74,130,121
108,South Whittier,532776.0,33.9435081,-118.0347827,110,177,9,230,169,201,266,58,188,149
109,Signal Hill,531739.0,33.804826,-118.168259,119,193,21,237,163,225,281,66,196,185
110,Grover Beach,530037.0,35.1209452,-120.6218376,16,7,3,108,36,118,109,12,119,95
111,Stanton,529672.0,33.79410005,-117.99510059728792,158,223,30,231,246,215,261,122,197,162
112,El Cajon,529368.0,32.7947731,-116.9625269,29,123,7,215,69,123,131,59,96,78
113,Clarksburg,529350.0,38.4204651,-121.5271772,32,57,3,186,31,134,119,43,161,101
114,Pilot Hill,528804.0,38.8182337,-121.029666,15,18,2,119,28,82,96,17,150,46
115,Lakeside,528043.0,32.85041,-116.89600133970856,44,44,4,229,59,162,183,28,182,100
116,Rancho Mirage,527418.0,33.763346,-116.4228596,72,62,21,250,106,201,215,41,232,193
117,Mira Loma,527370.0,33.9863913,-117.5227325,70,86,8,233,95,168,197,71,173,161
118,Richmond,525758.0,37.9357576,-122.3477486,86,181,3,248,128,81,29,35,101,73
119,Morada,524295.0,38.0414635,-121.24732701785715,33,110,4,216,38,109,187,31,228,97
120,Oxnard,524131.0,34.1976308,-119.1803818,56,89,3,235,71,175,209,62,242,150
121,Tracy,522323.0,37.7396513,-121.4252227,8,11,1,140,15,86,114,13,185,47
122,Castroville,521867.0,36.7657904,-121.758005,16,68,4,98,12,68,113,24,149,78
123,Valinda,521442.0,34.0384785,-117.93355898556877,67,119,11,231,118,208,249,49,193,130
124,Rocklin,519852.0,38.7907339,-121.2357828,54,71,3,243,83,188,190,56,195,133
125,Santa Fe Springs,519215.0,33.9480787,-118.0691499,87,110,9,230,148,175,206,42,157,122
126,Crows Landing,514996.0,37.3938244,-121.0715976,9,2,1,38,3,31,61,3,89,8
127,Linden,513340.0,38.0213005,-121.10551382169648,1,5,0,33,4,17,35,1,68,19
128,Cazadero,512609.0,38.5334117,-123.0854625,15,1,1,46,7,45,16,0,44,32
129,Salinas,512572.0,36.6744117,-121.6550372,15,69,5,115,13,71,125,23,169,70
130,El Monte,512307.0,36.7014631,-118.7559974,1,0,0,1,0,17,1,0,1,8
131,Paso Robles,510826.0,35.6267654,-120.6912456,19,4,7,91,49,66,149,4,166,67
132,Westmont,509450.0,33.9414035,-118.3022963,202,200,34,246,243,223,275,191,196,222
133,San Fernando,509223.0,34.28497,-118.437652,108,78,17,239,122,152,196,67,169,141
134,Chino,508413.0,34.0133561,-117.690075,68,189,11,234,95,183,249,62,190,160
135,Trinidad,507667.0,41.059291,-124.143125,10,5,1,24,4,29,36,4,55,22
136,Birds Landing,505654.0,38.132695,-121.8707927,14,20,1,127,6,61,96,7,178,34
137,Meadow Vista,504971.0,39.0016485,-121.03567537915235,10,7,1,105,18,69,118,12,173,50
138,South El Monte,504939.0,34.0519548,-118.0467339,95,147,13,239,214,188,217,48,197,158
139,Pico Rivera,504525.0,33.9830688,-118.096735,120,135,11,239,218,168,230,67,179,137
140,Albion,503999.0,39.2235117,-123.7686251,5,3,1,27,4,29,19,1,61,33
141,Shingle Springs,503642.0,38.671386999999996,-120.94054470702578,19,7,2,163,30,86,130,13,196,38
142,Corona,502945.0,33.8752945,-117.5664449,55,80,4,212,48,147,189,60,194,112
143,Norwalk,501447.0,33.9092802,-118.0849169,100,165,14,228,164,171,234,50,189,138
144,Kirkwood,500013.0,38.690863,-120.0545120325384,2,0,1,10,7,43,6,3,7,5
145,Spring Valley,498728.0,32.729639500000005,-116.9668617593562,45,146,7,245,121,144,147,70,132,78
146,West Compton,498613.0,33.8939048,-118.2706282,81,162,22,237,170,139,203,59,148,170
147,Bayside,498576.0,40.8423507,-124.0636715,24,60,1,115,36,94,127,10,177,56
148,Soda Springs,497074.0,39.0240651,-123.315841,1,4,1,21,4,12,39,4,38,11
149,West Puente Valley,494720.0,34.049858,-117.96462933942225,68,121,12,231,145,175,237,53,173,129
150,Lincoln,494209.0,38.859829500000004,-121.34239205792437,43,78,3,161,47,157,205,55,231,99
151,East Los Angeles,489213.0,34.0239015,-118.1720157,177,207,29,244,245,201,261,146,177,173
152,Crockett,488018.0,38.0525612,-122.2202603,41,67,6,186,43,133,132,25,119,89
153,Lemon Grove,487734.0,32.7425516,-117.0314172,208,211,14,247,249,235,280,160,213,210
154,Azusa,486785.0,34.1338751,-117.9056046,51,144,12,238,92,170,216,44,181,116
155,Roseville,486660.0,38.7521235,-121.2880059,61,95,6,242,88,196,194,60,187,148
156,Ripon,486281.0,37.741595,-121.1243828,22,69,5,138,34,90,164,21,217,82
157,Temecula,485404.0,33.4946353,-117.1473661,69,56,6,167,77,146,216,47,220,104
158,La Puente,485217.0,34.01979,-117.9503677,75,130,12,230,126,214,232,56,169,119
